sample,date,time,tide_height,temperature,salinity,DO,pH,elevation,distance_well1,tide,campaign,nitrite,nitrate,ammonia,phosphate,sample-type,quant_reading
010322-H-SW,3/1/22,10:18,2.69,12.3,32.3,9.05,8.1,0.819912,30,high,Winter 2022,0.21418321,31.984693,0.20649002,2.19540655,seawater,3.5
010322-H-W1D1,3/1/22,11:20,1.74,15,4,8.02,8.5,0.841248,0,high,Winter 2022,33.19839791,319.9897192,8.254903208,26.92601564,porewater,2.0925
010322-H-W1D2,3/1/22,11:20,1.74,14.9,1.7,2.73,8.8,0.536448,0,high,Winter 2022,8.781511705,319.1329864,0.668105144,39.09760784,porewater,2.31
010322-H-W1D3,3/1/22,11:20,1.74,15.1,1.2,1.29,8.3,-0.033528,0,high,Winter 2022,0,134.5070573,0,36.57934738,porewater,2.3475
010322-H-W1D4,3/1/22,11:20,1.74,15.5,3.7,6.6,8.1,-0.57912,0,high,Winter 2022,0,0.642549637,35.51995875,71.25385673,porewater,1.8975
010322-H-W2D1,3/1/22,11:01,2.16,14.4,11.7,7.9,8.2,0.56388,4.75,high,Winter 2022,19.99043315,276.7247103,27.880098,30.92940405,porewater,2.06
010322-H-W2D2,3/1/22,11:01,2.16,14.4,9.7,5.3,8.4,0.347472,4.75,high,Winter 2022,10.78055502,218.1099045,8.145040563,35.99821036,porewater,4.3425
010322-H-W2D3,3/1/22,11:01,2.16,14.8,7,1.77,8.1,-0.222504,4.75,high,Winter 2022,1.070916062,90.02834358,0,10.71874963,porewater,0.445
010322-H-W3D1,3/1/22,10:35,2.54,13.6,22.5,8.9,8.2,0.283464,10.058,high,Winter 2022,0,194.1213848,0,9.136765498,porewater,1.95
010322-H-W3D2,3/1/22,10:37,2.54,13.2,17.4,6.6,8.2,0.155448,10.058,high,Winter 2022,0,202.7601077,0,9.621046355,porewater,2.0175
010322-H-W3D3,3/1/22,10:35,2.54,13.6,9,1.97,8.1,-0.326136,10.058,high,Winter 2022,0,168.9191601,0,11.71959673,porewater,0.953
010322-H-W3D4,3/1/22,10:35,2.54,13.9,8.5,1.53,7.7,-1.088136,10.058,high,Winter 2022,2.927170568,32.55584827,0.50618474,44.42469726,porewater,2.385
010322-H-W4D1,3/1/22,10:10,2.8,12.2,32.7,8.72,7.8,-0.420624,19.685,high,Winter 2022,0,31.62772102,0,2.87339975,porewater,1.255
010322-H-W4D2,3/1/22,10:10,2.8,12,32.8,8.48,7.8,-0.588264,19.685,high,Winter 2022,0,27.05847916,0,1.614269523,porewater,0.457
010322-H-W4D3,3/1/22,10:10,2.8,12.1,31.8,8.08,7.8,-1.00584,19.685,high,Winter 2022,0,53.9027751,0,3.260824436,porewater,0.563
010322-H-W4D4,3/1/22,10:10,2.8,12.5,29.1,7.67,7.9,-1.76784,19.685,high,Winter 2022,0,95.02595187,0,2.259977332,porewater,0.439
010322-L-W1D1,3/1/22,17:45,-3.73,14,3.2,8.7,8.8,0.841248,0,low,Winter 2022,26.20174631,311.9221515,6.239659972,23.53604964,porewater,1.96
010322-L-W1D2,3/1/22,17:45,-3.73,14.1,1.5,2.67,8.9,0.536448,0,low,Winter 2022,10.20939979,272.3696517,14.95262337,33.18938139,porewater,2.0125
010322-L-W1D3,3/1/22,17:45,-3.73,14.3,1.7,2.05,8.4,-0.033528,0,low,Winter 2022,0.356972021,94.02643021,0,14.14100102,porewater,1.465
010322-L-W1D4,3/1/22,17:45,-3.73,14.4,3.7,4.39,8.2,-0.57912,0,low,Winter 2022,0,0.713944041,22.302334,50.88177536,porewater,1.34
010322-L-W2D1,3/1/22,18:14,-3.02,13.4,9.4,3.06,8.6,0.56388,4.75,low,Winter 2022,14.06469761,279.7946697,0,22.18006324,porewater,2.44
010322-L-W2D2,3/1/22,18:14,-3.02,13.4,2.9,5.75,8.9,0.347472,4.75,low,Winter 2022,4.926213883,170.6326258,4.520776036,30.70340632,porewater,1.96
010322-L-W2D3,3/1/22,18:14,-3.02,13.7,6.7,4.03,8.3,-0.222504,4.75,low,Winter 2022,0.428366425,76.32061799,0,15.59384359,porewater,0.893
010322-L-W3D1,3/1/22,18:33,-2.69,12.2,28.6,8.4,8.1,0.283464,10.058,low,Winter 2022,0,224.8923729,1.085113375,5.875941063,porewater,1.925
010322-L-W3D2,3/1/22,18:33,-2.69,12.4,22.7,7.9,8.2,0.155448,10.058,low,Winter 2022,0,171.7035419,0,8.426486909,porewater,2.09
010322-L-W3D3,3/1/22,18:34,-2.44,12.8,5.9,4.38,8.7,-0.326136,10.058,low,Winter 2022,0,180.8420256,0,13.59214938,porewater,1.68
010322-L-W3D4,3/1/22,18:34,-2.44,12.9,8.6,5.88,8,-1.088136,10.058,low,Winter 2022,2.213226527,48.11982837,0.172180095,36.61163277,porewater,2.605
