Sample,Date,Tide,Well,Depth,DOC,TN,,UniqueID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name,UniqueID,W,D,tide
010322_H_MQ,10322,H,MQ,,0.699376389,0,,010322_H_MQ,0.000752782,0,0.001606375,0.000897299,0,0,2.06262E-05,0,0,0.000828921,0,0,0.738826614,5.804527237,1.790232599,0.030466966,0.0250967,0.451312418,Group008Sample0007,run2,010322_H_MQ,010322_H_MQ,010322_H_MQ,H
010322_H_SW,10322,H,Seawater,1,77.46426103,20.2117558,,010322_H_SW,0.04308455,0.018415797,0.038062096,0.048056745,0.022012555,0.008850834,0.016965774,0.028240947,0.012838048,0.049380201,0.04581244,0.775394473,4.462087372,1.562009298,0.792024021,1.220528759,0.02412167,11.96284795,Group008Sample0006,run2,010322_H_SW,010322_H_SW,010322_H_SW,H
010322_H_W1D1,10322,H,1,1,759.3385481,409.8663497,,010322_H_W1D1,0.595032977,0.109537642,0.480667321,0.769725802,0.446835331,0.155839652,0.477603353,0.484470851,0.481490757,1.757861898,1.481418051,1.368361755,14.63050118,1.030992932,0.624465647,18.06012717,0.011189612,413.8865845,Group002Sample0004,run2,010322_H_W1D1,W1,D1,H
010322_H_W1D2,10322,H,1,2,740.2305861,380.416158,,010322_H_W1D2,0.595027601,0.081586676,0.480991942,0.770120361,0.395411675,0.115429762,0.477081382,0.484945874,0.4807693,1.759884617,1.227243001,1.372654336,16.51412261,1.032869783,0.624567232,15.65275923,0.010001443,375.4674103,Group002Sample0005,run2,010322_H_W1D2,W1,D2,H
010322_H_W1D3,10322,H,1,3,563.7629364,169.124419,,010322_H_W1D3,0.535891739,0.054829415,0.444257481,0.678775338,0.23047158,0.05671089,0.457598967,0.451529318,0.452659655,1.499610123,0.773150822,1.285652056,16.36871018,1.02918873,0.65449856,9.504647262,0.008337946,251.5337755,Group002Sample0006,run2,010322_H_W1D3,W1,D3,H
010322_H_W1D4,10322,H,1,4,779.6953966,104.3875431,,010322_H_W1D4,0.609584728,0.119952334,0.490966535,0.789847742,0.486994068,0.100694873,0.48357721,0.493688321,0.486074417,1.845154136,1.716668149,1.378536881,13.98901136,1.032012276,0.621596427,20.18394911,0.011822507,471.7310095,Group002Sample0007,run2,010322_H_W1D4,W1,D4,H
010322_H_W2D1,10322,H,2,1,652.6836487,392.4104179,,010322_H_W2D1,0.565121318,0.076982489,0.462786427,0.72233847,0.334048189,0.070716182,0.468407604,0.468920049,0.474090204,1.609148887,1.197478663,1.355624777,16.20569894,1.031318295,0.640678083,13.70826129,0.009565286,343.5122016,Group003Sample0001,run2,010322_H_W2D1,W2,D1,H
010322_H_W2D2,10322,H,2,2,562.0144954,262.936666,,010322_H_W2D2,0.559019971,0.065691377,0.459401132,0.713724803,0.301554709,0.052172746,0.466559667,0.465766686,0.472318096,1.584045117,1.1207694,1.356767855,17.21089406,1.03089522,0.643667041,12.19057395,0.008830085,318.867439,Group003Sample0002,run2,010322_H_W2D2,W2,D2,H
010322_H_W2D3,10322,H,2,3,512.7836013,454.1130316,,010322_H_W2D3,0.511271113,0.03876378,0.429993596,0.639215777,0.156500801,0.02163383,0.399068877,0.439584768,0.295857102,1.003721633,0.577342036,0.95465589,16.38219314,1.027623632,0.672689273,6.469828734,0.007539946,172.4628561,Group003Sample0003,run2,010322_H_W2D3,W2,D3,H
010322_H_W3D1,10322,H,3,1,962.5583854,589.5839134,,010322_H_W3D1,0.53095371,0.049703461,0.441844107,0.670295982,0.240962257,0.021148358,0.457988323,0.450652882,0.465562236,1.450472407,0.873056388,1.211968043,16.29631329,1.028786099,0.659177616,9.474884104,0.008146414,255.1042134,Group003Sample0004,run2,010322_H_W3D1,W3,D1,H
